,month,hour,boro,noise_counts
624,6,04,Staten Island,916781312
625,6,05,Bronx,13287055030
626,6,05,Brooklyn,9059757964
627,6,05,Manhattan,9368319311
628,6,05,Queens,7331620500
629,6,05,Staten Island,762849754
630,6,06,Bronx,9315234945
631,6,06,Brooklyn,8907914856
632,6,06,Manhattan,9057747246
633,6,06,Queens,5548468501
634,6,06,Staten Island,407450406
635,6,07,Bronx,5242741585
636,6,07,Brooklyn,9564494143
637,6,07,Manhattan,11499176523
638,6,07,Queens,7892434126
639,6,07,Staten Island,1271648485
640,6,08,Bronx,7684186794
641,6,08,Brooklyn,11552508724
642,6,08,Manhattan,10688005518
643,6,08,Queens,10943909356
644,6,08,Staten Island,916424473
645,6,09,Bronx,8245182627
646,6,09,Brooklyn,15268288470
647,6,09,Manhattan,13790336468
648,6,09,Queens,11197381139
649,6,09,Staten Island,916047914
650,6,10,Bronx,8397975208
651,6,10,Brooklyn,13436539661
652,6,10,Manhattan,13995024164
653,6,10,Queens,12472382004
654,6,10,Staten Island,1475164563
655,6,11,Bronx,10487776895
656,6,11,Brooklyn,14912712657
657,6,11,Manhattan,16846180669
658,6,11,Queens,14503075907
659,6,11,Staten Island,763533325
660,6,12,Bronx,12935784937
661,6,12,Brooklyn,15320751675
662,6,12,Manhattan,15573744952
663,6,12,Queens,13080650900
664,6,12,Staten Island,1272922315
665,6,13,Bronx,17463527328
666,6,13,Brooklyn,18321510120
667,6,13,Manhattan,19340707177
668,6,13,Queens,14709042643
669,6,13,Staten Island,1882455346
670,6,14,Bronx,18221550452
671,6,14,Brooklyn,19440071944
672,6,14,Manhattan,23055200221
673,6,14,Queens,16842451476
674,6,14,Staten Island,1883357799
675,6,15,Bronx,24021680633
676,6,15,Brooklyn,21067654508
677,6,15,Manhattan,23206215522
678,6,15,Queens,19642280826
679,6,15,Staten Island,2645832294
680,6,16,Bronx,30366738361
681,6,16,Brooklyn,26261057848
682,6,16,Manhattan,29059942592
683,6,16,Queens,20355205699
684,6,16,Staten Island,3462060088
685,6,17,Bronx,38368240696
686,6,17,Brooklyn,32880700426
687,6,17,Manhattan,34198021112
688,6,17,Queens,22851822618
689,6,17,Staten Island,2441130414
690,6,18,Bronx,60367064460
691,6,18,Brooklyn,38584620649
692,6,18,Manhattan,45299920671
693,6,18,Queens,30482736803
694,6,18,Staten Island,3970284043
695,6,19,Bronx,73603552703
696,6,19,Brooklyn,52220634912
697,6,19,Manhattan,57206559788
698,6,19,Queens,38636458711
699,6,19,Staten Island,3971023741
700,6,20,Bronx,119006779634
701,6,20,Brooklyn,69629076602
702,6,20,Manhattan,76340785917
703,6,20,Queens,52790672375
704,6,20,Staten Island,6618560565
705,6,21,Bronx,154714878554
706,6,21,Brooklyn,105316236652
707,6,21,Manhattan,116099878610
708,6,21,Queens,80276590244
709,6,21,Staten Island,10485268814
710,6,22,Bronx,178931807366
711,6,22,Brooklyn,144819424598
712,6,22,Manhattan,145266742943
713,6,22,Queens,107102026554
714,6,22,Staten Island,14408044052
715,6,23,Bronx,172261009016
716,6,23,Brooklyn,151431588701
717,6,23,Manhattan,157273374128
718,6,23,Queens,106229291743
719,6,23,Staten Island,12878715267
720,7,00,Bronx,149297069911
721,7,00,Brooklyn,98599181386
722,7,00,Manhattan,91495221629
723,7,00,Queens,73185644914
724,7,00,Staten Island,7066965687
725,7,01,Bronx,116756771744
726,7,01,Brooklyn,67911464016
727,7,01,Manhattan,63369291494
728,7,01,Queens,55975568101
729,7,01,Staten Island,4965196186
730,7,02,Bronx,72257790695
731,7,02,Brooklyn,41949659827
732,7,02,Manhattan,43798161988
733,7,02,Queens,33653005064
734,7,02,Staten Island,2303616149
735,7,03,Bronx,53713540526
736,7,03,Brooklyn,24797279844
737,7,03,Manhattan,25362974453
738,7,03,Queens,18589456328
739,7,03,Staten Island,1894733179
740,7,04,Bronx,49978515320
741,7,04,Brooklyn,15420622943
742,7,04,Manhattan,15671896042
743,7,04,Queens,14395109453
744,7,04,Staten Island,767814060
745,7,05,Bronx,42395053116
746,7,05,Brooklyn,8195539162
747,7,05,Manhattan,8965070252
748,7,05,Queens,9219324353
749,7,05,Staten Island,460641128
750,7,06,Bronx,38602007620
751,7,06,Brooklyn,7938970887
752,7,06,Manhattan,6914054436
753,7,06,Queens,6351205084
754,7,06,Staten Island,665853051
755,7,07,Bronx,37786827048
756,7,07,Brooklyn,7633361550
757,7,07,Manhattan,8608552755
758,7,07,Queens,6811633510
759,7,07,Staten Island,512150382
760,7,08,Bronx,35587986594
761,7,08,Brooklyn,11627262407
762,7,08,Manhattan,9426916572
763,7,08,Queens,8557779950
764,7,08,Staten Island,871368396
765,7,09,Bronx,34096820558
766,7,09,Brooklyn,12961271562
767,7,09,Manhattan,11835276374
768,7,09,Queens,10866730096
769,7,09,Staten Island,1434707338
770,7,10,Bronx,32862594332
771,7,10,Brooklyn,13064360483
772,7,10,Manhattan,12451682046
773,7,10,Queens,13580585083
774,7,10,Staten Island,716814105
775,7,11,Bronx,32658821891
776,7,11,Brooklyn,12857909358
777,7,11,Manhattan,12602466765
778,7,11,Queens,12706242588
779,7,11,Staten Island,1229248739
780,7,12,Bronx,32808944855
781,7,12,Brooklyn,13218623733
782,7,12,Manhattan,13013100952
783,7,12,Queens,11783496022
784,7,12,Staten Island,1074929919
785,7,13,Bronx,32345547848
786,7,13,Brooklyn,16652090568
787,7,13,Manhattan,15009544324
788,7,13,Queens,13066800586
789,7,13,Staten Island,2048598033
790,7,14,Bronx,30088323638
791,7,14,Brooklyn,16188769671
792,7,14,Manhattan,17422270755
793,7,14,Queens,15829603025
794,7,14,Staten Island,2407170665
795,7,15,Bronx,36079794432
796,7,15,Brooklyn,19210756594
797,7,15,Manhattan,16963431589
798,7,15,Queens,17317026137
799,7,15,Staten Island,2356348160
800,7,16,Bronx,47667487116
801,7,16,Brooklyn,22438875764
802,7,16,Manhattan,21262783199
803,7,16,Queens,18287998748
804,7,16,Staten Island,2354647560
805,7,17,Bronx,63602670740
806,7,17,Brooklyn,27717178153
807,7,17,Manhattan,29000579115
808,7,17,Queens,22284071979
809,7,17,Staten Island,2459482206
810,7,18,Bronx,76043052980
811,7,18,Brooklyn,31657508696
812,7,18,Manhattan,33202315835
813,7,18,Queens,27819390672
814,7,18,Staten Island,3432977089
815,7,19,Bronx,93634892633
816,7,19,Brooklyn,41345000327
817,7,19,Manhattan,43606862371
818,7,19,Queens,34939696298
819,7,19,Staten Island,4354481864
820,7,20,Bronx,125156119467
821,7,20,Brooklyn,60250614346
822,7,20,Manhattan,61137496878
823,7,20,Queens,48984745489
824,7,20,Staten Island,6198424591
825,7,21,Bronx,149609222754
826,7,21,Brooklyn,86799491901
827,7,21,Manhattan,81423585027
828,7,21,Queens,70335999370
829,7,21,Staten Island,10650320113
830,7,22,Bronx,173847046159
831,7,22,Brooklyn,118420843771
832,7,22,Manhattan,105925261678
833,7,22,Queens,92110366998
834,7,22,Staten Island,11992342750
835,7,23,Bronx,175373498641
836,7,23,Brooklyn,125287247012
837,7,23,Manhattan,116586513729
838,7,23,Queens,97557574701
